,Country,Score,GDP,Social support,Healthy life expectancy,Freedom,Generosity importance,Perceptions of corruption
2,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408
5,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295
8,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995
11,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998
15,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,0.24
22,France,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002
35,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.07400000000000001
41,Poland,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,0.064
46,Italy,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,0.027999999999999997
78,Greece,5.358,1.1540000000000001,1.202,0.879,0.131,0.0,0.044000000000000004
